service_id,date,exception_type
2022-3WD,20220306,2
2022-3WE,20220307,1
2022-3WE,20220308,1
2022-3WE,20220309,1
2022-3WE,20220310,1
2022-3WE,20220311,1
2022-3WD,20220312,2
2022-3WD,20220313,2
2022-3WE,20220314,1
2022-3WE,20220315,1
2022-3WE,20220316,1
2022-3WE,20220317,1
2022-3WE,20220318,1
2022-3WD,20220319,2
2022-3WD,20220320,2
2022-3WD,20220321,2
2022-3WE,20220322,1
2022-3WE,20220323,1
2022-3WE,20220324,1
2022-3WE,20220325,1
2022-3WD,20220326,2
2022-3WD,20220327,2
2022-3WE,20220328,1
2022-3WE,20220329,1
2022-3WE,20220330,1
2022-3WE,20220331,1
2022-4WE,20220401,1
2022-4WD,20220402,2
2022-4WD,20220403,2
2022-4WE,20220404,1
2022-4WE,20220405,1
2022-4WE,20220406,1
2022-4WE,20220407,1
2022-4WE,20220408,1
2022-4WD,20220409,2
2022-4WD,20220410,2
2022-4WE,20220411,1
2022-4WE,20220412,1
2022-4WE,20220413,1
2022-4WE,20220414,1
2022-4WE,20220415,1
2022-4WD,20220416,2
2022-4WD,20220417,2
2022-4WE,20220418,1
2022-4WE,20220419,1
2022-4WE,20220420,1
2022-4WE,20220421,1
2022-4WE,20220422,1
2022-4WD,20220423,2
2022-4WD,20220424,2
2022-4WE,20220425,1
2022-4WE,20220426,1
2022-4WE,20220427,1
2022-4WE,20220428,1
2022-4WD,20220429,2
2022-4WD,20220430,2
2022-5WD,20220501,2
2022-5WD,20220502,2
2022-5WD,20220503,2
2022-5WD,20220504,2
2022-5WD,20220505,2
2022-5WE,20220506,1
2022-5WD,20220507,2
2022-5WD,20220508,2
2022-5WE,20220509,1
2022-5WE,20220510,1
2022-5WE,20220511,1
2022-5WE,20220512,1
2022-5WE,20220513,1
2022-5WD,20220514,2
2022-5WD,20220515,2
2022-5WE,20220516,1
2022-5WE,20220517,1
2022-5WE,20220518,1
2022-5WE,20220519,1
2022-5WE,20220520,1
2022-5WD,20220521,2
2022-5WD,20220522,2
2022-5WE,20220523,1
2022-5WE,20220524,1
2022-5WE,20220525,1
2022-5WE,20220526,1
2022-5WE,20220527,1
2022-5WD,20220528,2
2022-5WD,20220529,2
2022-5WE,20220530,1
2022-5WE,20220531,1
2022-6WE,20220601,1
2022-6WE,20220602,1
2022-6WE,20220603,1
2022-6WD,20220604,2
2022-6WD,20220605,2
2022-6WE,20220606,1
2022-6WE,20220607,1
2022-6WE,20220608,1
2022-6WE,20220609,1
2022-6WE,20220610,1
2022-6WD,20220611,2
2022-6WD,20220612,2
2022-6WE,20220613,1
2022-6WE,20220614,1
2022-6WE,20220615,1
2022-6WE,20220616,1
2022-6WE,20220617,1
2022-6WD,20220618,2
2022-6WD,20220619,2
2022-6WE,20220620,1
2022-6WE,20220621,1
2022-6WE,20220622,1
2022-6WE,20220623,1
2022-6WE,20220624,1
2022-6WD,20220625,2
2022-6WD,20220626,2
2022-6WE,20220627,1
2022-6WE,20220628,1
2022-6WE,20220629,1
2022-6WE,20220630,1
2022-7WE,20220701,1
2022-7WD,20220702,2
2022-7WD,20220703,2
2022-7WE,20220704,1
2022-7WE,20220705,1
2022-7WE,20220706,1
2022-7WE,20220707,1
2022-7WE,20220708,1
2022-7WD,20220709,2
2022-7WD,20220710,2
2022-7WE,20220711,1
2022-7WE,20220712,1
2022-7WE,20220713,1
2022-7WE,20220714,1
2022-7WE,20220715,1
2022-7WD,20220716,2
2022-7WD,20220717,2
2022-7WD,20220718,2
2022-7WE,20220719,1
2022-7WE,20220720,1
2022-7WE,20220721,1
2022-7WE,20220722,1
2022-7WD,20220723,2
2022-7WD,20220724,2
2022-7WE,20220725,1
2022-7WE,20220726,1
2022-7WE,20220727,1
2022-7WE,20220728,1
2022-7WE,20220729,1
2022-7WD,20220730,2
2022-7WD,20220731,2
2022-8WE,20220801,1
2022-8WE,20220802,1
2022-8WE,20220803,1
2022-8WE,20220804,1
2022-8WE,20220805,1
2022-8WD,20220806,2
2022-8WD,20220807,2
2022-8WE,20220808,1
