trip_id,arrival_time,departure_time,stop_id,stop_sequence
p1-2022-3WE,05:51:00,05:51:00,p07_platform1,7
p1-2022-3WE,06:11:00,06:11:00,p07_platform1,7
p1-2022-3WE,06:21:00,06:21:00,p07_platform1,7
p1-2022-3WE,06:31:00,06:31:00,p07_platform1,7
p1-2022-3WE,06:36:00,06:36:00,p07_platform1,7
p1-2022-3WE,06:41:00,06:41:00,p07_platform1,7
p1-2022-3WE,06:51:00,06:51:00,p07_platform1,7
p1-2022-3WE,07:02:00,07:02:00,p07_platform1,7
p1-2022-3WE,07:13:00,07:13:00,p07_platform1,7
p1-2022-3WE,07:18:00,07:18:00,p07_platform1,7
p1-2022-3WE,07:20:00,07:20:00,p07_platform1,7
p1-2022-3WE,07:25:00,07:25:00,p07_platform1,7
p1-2022-3WE,07:28:00,07:28:00,p07_platform1,7
p1-2022-3WE,07:34:00,07:34:00,p07_platform1,7
p1-2022-3WE,07:37:00,07:37:00,p07_platform1,7
p1-2022-3WE,07:43:00,07:43:00,p07_platform1,7
p1-2022-3WE,07:47:00,07:47:00,p07_platform1,7
p1-2022-3WE,07:51:00,07:51:00,p07_platform1,7
p1-2022-3WE,07:56:00,07:56:00,p07_platform1,7
p1-2022-3WE,08:00:00,08:00:00,p07_platform1,7
p1-2022-3WE,08:04:00,08:04:00,p07_platform1,7
p1-2022-3WE,08:09:00,08:09:00,p07_platform1,7
p1-2022-3WE,08:11:00,08:11:00,p07_platform1,7
p1-2022-3WE,08:15:00,08:15:00,p07_platform1,7
p1-2022-3WE,08:18:00,08:18:00,p07_platform1,7
p1-2022-3WE,08:23:00,08:23:00,p07_platform1,7
p1-2022-3WE,08:25:00,08:25:00,p07_platform1,7
p1-2022-3WE,08:29:00,08:29:00,p07_platform1,7
p1-2022-3WE,08:31:00,08:31:00,p07_platform1,7
p1-2022-3WE,08:36:00,08:36:00,p07_platform1,7
p1-2022-3WE,08:38:00,08:38:00,p07_platform1,7
p1-2022-3WE,08:42:00,08:42:00,p07_platform1,7
p1-2022-3WE,08:44:00,08:44:00,p07_platform1,7
p1-2022-3WE,08:49:00,08:49:00,p07_platform1,7
p1-2022-3WE,08:51:00,08:51:00,p07_platform1,7
p1-2022-3WE,08:55:00,08:55:00,p07_platform1,7
p1-2022-3WE,08:58:00,08:58:00,p07_platform1,7
p1-2022-3WE,09:02:00,09:02:00,p07_platform1,7
p1-2022-3WE,09:04:00,09:04:00,p07_platform1,7
p1-2022-3WE,09:08:00,09:08:00,p07_platform1,7
p1-2022-3WE,09:11:00,09:11:00,p07_platform1,7
p1-2022-3WE,09:15:00,09:15:00,p07_platform1,7
p1-2022-3WE,09:17:00,09:17:00,p07_platform1,7
p1-2022-3WE,09:24:00,09:24:00,p07_platform1,7
p1-2022-3WE,09:31:00,09:31:00,p07_platform1,7
p1-2022-3WE,09:37:00,09:37:00,p07_platform1,7
p1-2022-3WE,09:42:00,09:42:00,p07_platform1,7
p1-2022-3WE,09:48:00,09:48:00,p07_platform1,7
p1-2022-3WE,09:53:00,09:53:00,p07_platform1,7
p1-2022-3WE,10:00:00,10:00:00,p07_platform1,7
p1-2022-3WE,10:08:00,10:08:00,p07_platform1,7
p1-2022-3WE,10:13:00,10:13:00,p07_platform1,7
p1-2022-3WE,10:20:00,10:20:00,p07_platform1,7
p1-2022-3WE,10:28:00,10:28:00,p07_platform1,7
p1-2022-3WE,10:33:00,10:33:00,p07_platform1,7
p1-2022-3WE,10:40:00,10:40:00,p07_platform1,7
p1-2022-3WE,10:48:00,10:48:00,p07_platform1,7
p1-2022-3WE,10:53:00,10:53:00,p07_platform1,7
p1-2022-3WE,11:00:00,11:00:00,p07_platform1,7
p1-2022-3WE,11:08:00,11:08:00,p07_platform1,7
p1-2022-3WE,11:13:00,11:13:00,p07_platform1,7
p1-2022-3WE,11:20:00,11:20:00,p07_platform1,7
p1-2022-3WE,11:28:00,11:28:00,p07_platform1,7
p1-2022-3WE,11:33:00,11:33:00,p07_platform1,7
p1-2022-3WE,11:40:00,11:40:00,p07_platform1,7
p1-2022-3WE,11:48:00,11:48:00,p07_platform1,7
p1-2022-3WE,11:53:00,11:53:00,p07_platform1,7
p1-2022-3WE,12:00:00,12:00:00,p07_platform1,7
p1-2022-3WE,12:08:00,12:08:00,p07_platform1,7
p1-2022-3WE,12:13:00,12:13:00,p07_platform1,7
p1-2022-3WE,12:20:00,12:20:00,p07_platform1,7
p1-2022-3WE,12:28:00,12:28:00,p07_platform1,7
p1-2022-3WE,12:33:00,12:33:00,p07_platform1,7
p1-2022-3WE,12:40:00,12:40:00,p07_platform1,7
p1-2022-3WE,12:48:00,12:48:00,p07_platform1,7
p1-2022-3WE,12:53:00,12:53:00,p07_platform1,7
p1-2022-3WE,13:00:00,13:00:00,p07_platform1,7
p1-2022-3WE,13:08:00,13:08:00,p07_platform1,7
p1-2022-3WE,13:13:00,13:13:00,p07_platform1,7
p1-2022-3WE,13:20:00,13:20:00,p07_platform1,7
p1-2022-3WE,13:28:00,13:28:00,p07_platform1,7
p1-2022-3WE,13:33:00,13:33:00,p07_platform1,7
p1-2022-3WE,13:40:00,13:40:00,p07_platform1,7
p1-2022-3WE,13:48:00,13:48:00,p07_platform1,7
p1-2022-3WE,13:53:00,13:53:00,p07_platform1,7
p1-2022-3WE,14:00:00,14:00:00,p07_platform1,7
p1-2022-3WE,14:08:00,14:08:00,p07_platform1,7
p1-2022-3WE,14:13:00,14:13:00,p07_platform1,7
p1-2022-3WE,14:20:00,14:20:00,p07_platform1,7
p1-2022-3WE,14:28:00,14:28:00,p07_platform1,7
p1-2022-3WE,14:33:00,14:33:00,p07_platform1,7
p1-2022-3WE,14:40:00,14:40:00,p07_platform1,7
p1-2022-3WE,14:48:00,14:48:00,p07_platform1,7
p1-2022-3WE,14:53:00,14:53:00,p07_platform1,7
p1-2022-3WE,15:00:00,15:00:00,p07_platform1,7
p1-2022-3WE,15:08:00,15:08:00,p07_platform1,7
p1-2022-3WE,15:13:00,15:13:00,p07_platform1,7
p1-2022-3WE,15:20:00,15:20:00,p07_platform1,7
p1-2022-3WE,15:28:00,15:28:00,p07_platform1,7
p1-2022-3WE,15:33:00,15:33:00,p07_platform1,7
p1-2022-3WE,15:40:00,15:40:00,p07_platform1,7
p1-2022-3WE,15:48:00,15:48:00,p07_platform1,7
p1-2022-3WE,15:53:00,15:53:00,p07_platform1,7
p1-2022-3WE,16:00:00,16:00:00,p07_platform1,7
p1-2022-3WE,16:08:00,16:08:00,p07_platform1,7
p1-2022-3WE,16:13:00,16:13:00,p07_platform1,7
p1-2022-3WE,16:18:00,16:18:00,p07_platform1,7
p1-2022-3WE,16:20:00,16:20:00,p07_platform1,7
p1-2022-3WE,16:28:00,16:28:00,p07_platform1,7
p1-2022-3WE,16:33:00,16:33:00,p07_platform1,7
p1-2022-3WE,16:38:00,16:38:00,p07_platform1,7
p1-2022-3WE,16:40:00,16:40:00,p07_platform1,7
p1-2022-3WE,16:48:00,16:48:00,p07_platform1,7
p1-2022-3WE,16:53:00,16:53:00,p07_platform1,7
p1-2022-3WE,16:58:00,16:58:00,p07_platform1,7
p1-2022-3WE,17:03:00,17:03:00,p07_platform1,7
p1-2022-3WE,17:08:00,17:08:00,p07_platform1,7
p1-2022-3WE,17:13:00,17:13:00,p07_platform1,7
p1-2022-3WE,17:18:00,17:18:00,p07_platform1,7
p1-2022-3WE,17:21:00,17:21:00,p07_platform1,7
p1-2022-3WE,17:23:00,17:23:00,p07_platform1,7
p1-2022-3WE,17:28:00,17:28:00,p07_platform1,7
p1-2022-3WE,17:33:00,17:33:00,p07_platform1,7
p1-2022-3WE,17:38:00,17:38:00,p07_platform1,7
p1-2022-3WE,17:43:00,17:43:00,p07_platform1,7
p1-2022-3WE,17:48:00,17:48:00,p07_platform1,7
p1-2022-3WE,17:51:00,17:51:00,p07_platform1,7
p1-2022-3WE,17:53:00,17:53:00,p07_platform1,7
p1-2022-3WE,17:58:00,17:58:00,p07_platform1,7
p1-2022-3WE,18:03:00,18:03:00,p07_platform1,7
p1-2022-3WE,18:06:00,18:06:00,p07_platform1,7
p1-2022-3WE,18:08:00,18:08:00,p07_platform1,7
p1-2022-3WE,18:13:00,18:13:00,p07_platform1,7
p1-2022-3WE,18:18:00,18:18:00,p07_platform1,7
p1-2022-3WE,18:23:00,18:23:00,p07_platform1,7
p1-2022-3WE,18:28:00,18:28:00,p07_platform1,7
p1-2022-3WE,18:33:00,18:33:00,p07_platform1,7
p1-2022-3WE,18:38:00,18:38:00,p07_platform1,7
p1-2022-3WE,18:43:00,18:43:00,p07_platform1,7
p1-2022-3WE,18:48:00,18:48:00,p07_platform1,7
p1-2022-3WE,18:53:00,18:53:00,p07_platform1,7
p1-2022-3WE,18:58:00,18:58:00,p07_platform1,7
p1-2022-3WE,19:03:00,19:03:00,p07_platform1,7
p1-2022-3WE,19:08:00,19:08:00,p07_platform1,7
p1-2022-3WE,19:13:00,19:13:00,p07_platform1,7
p1-2022-3WE,19:18:00,19:18:00,p07_platform1,7
p1-2022-3WE,19:23:00,19:23:00,p07_platform1,7
p1-2022-3WE,19:28:00,19:28:00,p07_platform1,7
p1-2022-3WE,19:33:00,19:33:00,p07_platform1,7
p1-2022-3WE,19:38:00,19:38:00,p07_platform1,7
p1-2022-3WE,19:43:00,19:43:00,p07_platform1,7
p1-2022-3WE,19:48:00,19:48:00,p07_platform1,7
p1-2022-3WE,19:53:00,19:53:00,p07_platform1,7
p1-2022-3WE,19:58:00,19:58:00,p07_platform1,7
p1-2022-3WE,20:03:00,20:03:00,p07_platform1,7
p1-2022-3WE,20:08:00,20:08:00,p07_platform1,7
p1-2022-3WE,20:13:00,20:13:00,p07_platform1,7
p1-2022-3WE,20:23:00,20:23:00,p07_platform1,7
p1-2022-3WE,20:33:00,20:33:00,p07_platform1,7
p1-2022-3WE,20:40:00,20:40:00,p07_platform1,7
