route_id,service_id,trip_id,trip_headsign,wheelchair_accessible
p1,2022-3WD,p1-2022-3WD,神戸空港方面行,1
p1,2022-3WE,p1-2022-3WE,神戸空港方面行,1
p1,2022-4WD,p1-2022-4WD,神戸空港方面行,1
p1,2022-4WE,p1-2022-4WE,神戸空港方面行,1
p1,2022-5WD,p1-2022-5WD,神戸空港方面行,1
p1,2022-5WE,p1-2022-5WE,神戸空港方面行,1
p1,2022-6WD,p1-2022-6WD,神戸空港方面行,1
p1,2022-6WE,p1-2022-6WE,神戸空港方面行,1
p1,2022-7WD,p1-2022-7WD,神戸空港方面行,1
p1,2022-7WE,p1-2022-7WE,神戸空港方面行,1
p1,2022-8WD,p1-2022-8WD,神戸空港方面行,1
p1,2022-8WE,p1-2022-8WE,神戸空港方面行,1
p1,2022-9WD,p1-2022-9WD,神戸空港方面行,1
p1,2022-9WE,p1-2022-9WE,神戸空港方面行,1
p1,2022-10WD,p1-2022-10WD,神戸空港方面行,1
p1,2022-10WE,p1-2022-10WE,神戸空港方面行,1
p1,2022-11WD,p1-2022-11WD,神戸空港方面行,1
p1,2022-11WE,p1-2022-11WE,神戸空港方面行,1
p1,2022-12WD,p1-2022-12WD,神戸空港方面行,1
p1,2022-12WE,p1-2022-12WE,神戸空港方面行,1
p1,2023-1WD,p1-2023-1WD,神戸空港方面行,1
p1,2023-1WE,p1-2023-1WE,神戸空港方面行,1
p1,2023-2WD,p1-2023-2WD,神戸空港方面行,1
p1,2023-2WE,p1-2023-2WE,神戸空港方面行,1
p1,2023-3WD,p1-2023-3WD,神戸空港方面行,1
p1,2023-3WE,p1-2023-3WE,神戸空港方面行,1
p2,2022-3WD,p2-2022-3WD,三宮方面行,2
p2,2022-3WE,p2-2022-3WE,三宮方面行,2
p2,2022-4WD,p2-2022-4WD,三宮方面行,2
p2,2022-4WE,p2-2022-4WE,三宮方面行,2
p2,2022-5WD,p2-2022-5WD,三宮方面行,2
p2,2022-5WE,p2-2022-5WE,三宮方面行,2
p2,2022-6WD,p2-2022-6WD,三宮方面行,2
p2,2022-6WE,p2-2022-6WE,三宮方面行,2
p2,2022-7WD,p2-2022-7WD,三宮方面行,2
p2,2022-7WE,p2-2022-7WE,三宮方面行,2
p2,2022-8WD,p2-2022-8WD,三宮方面行,2
p2,2022-8WE,p2-2022-8WE,三宮方面行,2
p2,2022-9WD,p2-2022-9WD,三宮方面行,2
p2,2022-9WE,p2-2022-9WE,三宮方面行,2
p2,2022-10WD,p2-2022-10WD,三宮方面行,2
p2,2022-10WE,p2-2022-10WE,三宮方面行,2
p2,2022-11WD,p2-2022-11WD,三宮方面行,2
p2,2022-11WE,p2-2022-11WE,三宮方面行,2
p2,2022-12WD,p2-2022-12WD,三宮方面行,2
p2,2022-12WE,p2-2022-12WE,三宮方面行,2
p2,2023-1WD,p2-2023-1WD,三宮方面行,2
p2,2023-1WE,p2-2023-1WE,三宮方面行,2
p2,2023-2WD,p2-2023-2WD,三宮方面行,2
p2,2023-2WE,p2-2023-2WE,三宮方面行,2
p2,2023-3WD,p2-2023-3WD,三宮方面行,2
p2,2023-3WE,p2-2023-3WE,三宮方面行,2
